instrument,timeframe,date_analysis,direction,wave_current,wave_next,wave_degree,pattern,confirmation_level,invalidation_level,fib_target_1,fib_target_2,fib_618,fib_382,fib_786,scenario,has_alternative,current_price_approx,notes,page,source_file,result,exit_price,candles_elapsed,symbol_td,sl_pips,rr_ratio,fib_50,fib_500,profit_target_pips,target_price,invalidation_level_78.60,invalidation_level_61.80,fib_618_full,price_target,target_percentage,fib_ratios,direction_option2,direction_option3,scenario_option2,scenario_option3,option2_key_level,option2_constraint,option3_risk,date_target
AUD/USD,4H,2022-11-01,buy,3,5,intermediate,impulse,0.68479,0.63689,0.675,0.68479,0.618,,,main,True,0.6745,"A stop at the top of the 1st wave, a drop below that level would cancel the bullish scenario",1,2022.11.01T07-45-26.pdf,win,0.675,36.0,C:AUDUSD,479.0,0.2,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-11-01,sell,iii,,,ending diagonal,,1.01979,,,,,,invalidation,False,0.935,Invalidation levels marked at 1.01979 and 1.00952; price projected downward to 0.93000 area,2,2022.11.01T07-45-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-11-01,sell,Y,,,elliott_wave,1.18252,1.14017,1.12557,1.02,,,,bearish,True,1.14017,"Invalidation for bullish scenario at 1.14017, confirmation for bearish scenario. 50% of (W) at 1.18252, 50.09% at 1.12557",3,2022.11.01T07-45-26.pdf,loss,1.14017,12.0,C:GBPUSD,423.5,1.34,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-11-01,buy,2,3,,impulse,1.35677,1.34985,1.44,,,38.2,,main,True,1.3496,"Structure does not look like a downward impulse, looks more like a correction",4,2022.11.01T07-45-26.pdf,loss,1.34985,4.0,C:USDCAD,69.2,12.03,,,,,,,,,,,,,,,,,,
USD/CAD,1h,2022-11-01,buy,4,5,intermediate,impulse,1.35877,1.34985,,,,,,main,True,1.4,"Elliott Wave Count with triangle pattern completing, wave 5 projection upward",5,2022.11.01T07-45-26.pdf,loss,1.34985,4.0,C:USDCAD,89.2,,,,,,,,,,,,,,,,,,,
USD/CHF,4H,2022-11-01,buy,iii,3,,impulse,1.0,0.988,1.04362,1.06627,0.9477,,,main,True,1.0099,"Elliott Wave Count with confirmation level to buy marked at 1.00000, invalidation at 0.98800",6,2022.11.01T07-45-26.pdf,loss,0.988,7.0,C:USDCHF,120.0,3.63,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-10-31,buy,2,3,intermediate,impulse,0.673,0.633,,,,,,main,True,0.671,"Stop at top of 1st wave, drop below that level would cancel bullish scenario",1,2022.10.31T08-48-29.pdf,pending,,45.0,C:AUDUSD,400.0,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-10-31,sell,ii,iii,,impulse,1.01672,1.00852,,,,,,main,False,1.005,"Invalidation levels marked on chart, downward projection to 0.92500",2,2022.10.31T08-48-29.pdf,loss,1.00852,12.0,C:EURUSD,82.0,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-10-31,sell,V,,,impulse,1.14017,1.14617,1.12552,1.01,,,,bearish,True,1.14017,Confirmation for bearish scenario at 50.0%(1.12552). Invalidation for bullish scenario at 50% of (W),3,2022.10.31T08-48-29.pdf,win,1.12552,4.0,C:GBPUSD,60.0,2.44,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-10-31,buy,4,5,,correction,1.36515,1.35349,,,,1.34985,,main,True,1.3634,"This structure does not look like a downward impulse, it looks more like a correction",4,2022.10.31T08-48-29.pdf,loss,1.35349,2.0,C:USDCAD,116.6,,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-10-31,buy,4,5,intermediate,impulse,1.362,1.355,,,,1.34985,,main,True,1.364,"Correction structure, not downward impulse. Triangle completion at wave 4",5,2022.10.31T08-48-29.pdf,loss,1.355,2.0,C:USDCAD,70.0,,,,,,,,,,,,,,,,,,,
USD/CHF,4H,2022-10-31,buy,3,3,intermediate,impulse,1.00509,0.98412,1.04362,,,0.61803,,main,True,1.00397,"Elliott Wave 3 in progress, 161.80% extension target at 1.04362, confirmation level to buy at 1.00509",6,2022.10.31T08-48-29.pdf,loss,0.98412,9.0,C:USDCHF,209.7,1.84,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-10-28,buy,2,3,intermediate,impulse,0.673,0.637,,,,,,main,True,0.647,"Stop at top of 1st wave, drop below invalidates bullish scenario",1,2022.10.28T08-21-38.pdf,pending,,45.0,C:AUDUSD,360.0,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-10-28,sell,iv,v,intermediate,impulse,1.015,1.01677,,,,,,main,True,1.00852,"Invalidation levels marked on chart, wave count shows 5-wave structure, bearish projection to 0.92500",2,2022.10.28T08-21-38.pdf,loss,1.01677,14.0,C:EURUSD,17.7,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-10-28,sell,Y,,,Elliott Wave,1.14017,1.145,,,,,,bearish,True,1.14017,"Confirmation level for bearish scenario at 1.14017, Invalidation for bullish scenario at 1.14500",3,2022.10.28T08-21-38.pdf,loss,1.145,10.0,C:GBPUSD,48.3,,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-10-28,buy,4,5,primary,impulse,1.365,1.34084,,,,1.34885,,main,True,1.36,Structure looks like correction not downward impulse. Triangle pattern completing with confirmation level to buy at 1.36500,4,2022.10.28T08-21-38.pdf,loss,1.34084,11.0,C:USDCAD,241.6,,,,,,,,,,,,,,,,,,,
USD/CHF,4H,2022-10-28,buy,3,5,primary,impulse,1.05,0.974,1.04362,,1.015,0.9477,,main,True,1.009,"Elliott Wave Count with 161.80% projection target, confirmation level to buy at 1.05000",5,2022.10.28T08-21-38.pdf,loss,0.94438,45.0,C:USDCHF,760.0,0.08,,,,,,,,,,,,,,,,,,
USD/JPY,4h,2022-10-28,buy,A,B,intermediate,corrective,,,139.866,,0.382,,,main,False,150.5,"No good setup, market has finished growth cycle. Elliott Wave count showing corrective phase with retracement level at 38.20%(139.866)",6,2022.10.28T08-21-38.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4h,2022-10-27,buy,2,3,intermediate,impulse,0.67479,0.615,,,,,,main,True,0.6475,Move stop higher every day to protect long positions,1,2022.10.27T07-39-46.pdf,pending,,45.0,C:AUDUSD,597.9,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-10-27,sell,iv,v,,impulse,1.01977,1.01977,,,,,,main,False,1.01977,Invalidation level marked at 1.01977. Bears maintain control. Target wave v (5) projected downward to approximately 0.92000,2,2022.10.27T07-39-46.pdf,loss,1.01977,15.0,C:EURUSD,0.0,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-10-27,buy,Y,,,impulse,1.14017,1.13,,,,,,main,True,1.16,Elliott Wave Count with double invalidation levels marked,3,2022.10.27T07-39-46.pdf,loss,1.13,7.0,C:GBPUSD,101.7,,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-10-27,buy,4,5,intermediate,correction,1.36516,1.34985,,,,38.2,,main,False,1.354,"Wave 4 corrects to 38.2% Fib, invalidation at end of 4th wave, reversal point awaited",4,2022.10.27T07-39-46.pdf,loss,1.34985,8.0,C:USDCAD,153.1,,,,,,,,,,,,,,,,,,,
USD/CHF,4H,2022-10-27,buy,C,5,intermediate,impulse,1.00807,0.9781,1.015,,0.618,,,main,True,0.985,"Elliott Wave Count with confirmation level to buy at 1.00807, invalidation at 0.97810, 100% Fibonacci target visible",5,2022.10.27T07-39-46.pdf,loss,0.9781,15.0,C:USDCHF,299.7,0.23,,,,,,,,,,,,,,,,,,
USD/JPY,2D,2022-10-27,buy,5,,primary,impulse,,,,,,,,main,True,148.5,"Wave (5) in progress, completing major Elliott Wave sequence from wave (1)",6,2022.10.27T07-39-46.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,1D,2022-10-26,sell,(b),(c),intermediate,corrective,,,,,,,,main,True,0.645,"Wave Y (C) projection downward, corrective structure within larger downtrend",1,2022.10.26T11-14-03.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-10-26,buy,2,3,intermediate,impulse,0.67735,0.62104,,,,,,main,True,0.64576,"Wave 3 projected upward, multiple invalidation levels marked",2,2022.10.26T11-14-03.pdf,pending,,45.0,C:AUDUSD,563.1,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-10-26,sell,Y,5,,ending diagonal,0.98476,0.01927,,,,,,main,True,0.995,"Alternative scenario: 12345 - Ending Diagonal. For now, stay out of market and see if bears can maintain control.",3,2022.10.26T11-14-03.pdf,loss,0.01927,8.0,C:EURUSD,9654.9,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-10-26,buy,4,5,intermediate,impulse,,1.13057,,,,,,main,True,1.18,"Wave 5 projected upward, invalidation level marked at 1.13057",4,2022.10.26T11-14-03.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-10-26,buy,4,5,intermediate,impulse,1.37,1.34985,,,,1.34985,,main,True,1.369,"Wave 4 correcting to 38.2% Fib level, invalidation level not yet provided by market, waiting for reversal point",5,2022.10.26T11-14-03.pdf,loss,1.34985,9.0,C:USDCAD,201.5,,,,,,,,,,,,,,,,,,,
USD/CHF,4H,2022-10-26,buy,④,⑤,intermediate,impulse,1.00807,0.988,1.03,,0.618,,,main,True,1.00676,"Confirmation level to buy at 1.00807, invalidation at 0.98800, Elliott Wave count with triangle pattern in wave 4",6,2022.10.26T11-14-03.pdf,loss,0.988,13.0,C:USDCHF,200.7,1.09,,,,,,,,,,,,,,,,,,
AUD/USD,1D,2022-10-26,sell,b,c,intermediate,corrective,,,,,,,,main,True,0.6785,"Downtrend continuation expected, wave Y target approximately 0.6150",1,2022.10.26T08-34-56.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-10-26,buy,2,3,intermediate,impulse,0.625,0.62108,,,,,,main,True,0.643,"Elliott Wave Count with impulse pattern, invalidation levels marked, wave 3 projected upward",2,2022.10.26T08-34-56.pdf,loss,0.62108,16.0,C:AUDUSD,39.2,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-10-26,sell,Y,5,,ending diagonal,0.98476,0.99727,,,,,,12345 - Ending Diagonal scenario,True,0.98476,"For now, we stay out of the market and see if the bears can maintain control. Instead of wxyz, it could be the 12345 - Ending Diagonal scenario.",3,2022.10.26T08-34-56.pdf,loss,0.99727,9.0,C:EURUSD,125.1,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-10-26,buy,4,5,intermediate,impulse,1.19,1.13257,,,,,,main,True,1.154,"Elliott Wave Count with multiple waves labeled (1)-(5), invalidation zone marked at 1.13257, bullish impulse projected to wave 5",4,2022.10.26T08-34-56.pdf,pending,,45.0,C:GBPUSD,574.3,,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-10-26,buy,4,5,intermediate,correction,1.37,1.34985,,,,1.34985,,main,True,1.365,"Wave 4 correction to 38.2% Fib level, triangle structure, invalidation level not yet provided by market",5,2022.10.26T08-34-56.pdf,loss,1.34985,9.0,C:USDCAD,201.5,,,,,,,,,,,,,,,,,,,
USD/CHF,4H,2022-10-26,buy,B,C,,elliott_wave,1.00807,0.9781,1.018,1.03,0.618,,,main,True,0.988,"Confirmation level to buy at 1.00807, invalidation at 0.97810, 100% retracement level indicated",6,2022.10.26T08-34-56.pdf,loss,0.9781,16.0,C:USDCHF,299.7,0.33,,,,,,,,,,,,,,,,,,
AUD/USD,1D,2022-10-25,sell,c,Y,primary,complex_correction,,,,,,,,alternative,True,0.625,Wave C of (Y) still developing with downward continuation expected. Two possible scenarios presented for 4H analysis.,1,2022.10.25T07-46-25.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-10-25,sell,2,3,intermediate,impulse,0.63982,0.65389,0.61707,0.5725,0.63982,0.61707,,main,False,0.64415,"Stop intact, wave (2) ended near 61.8%. Confirmation level to sell at 0.63982. Target wave (3) toward 0.57250",2,2022.10.25T07-46-25.pdf,loss,0.65389,14.0,C:AUDUSD,140.7,1.62,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-10-25,buy,2,3,,impulse,0.641,0.621,,,,,,alternative,True,0.635,Alternative scenario - 3rd wave usually develops more rapidly. Switch to this plan if main scenario invalidates.,3,2022.10.25T07-46-25.pdf,loss,0.621,17.0,C:AUDUSD,200.0,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-10-25,sell,(X),(5),intermediate,ending diagonal,0.97045,0.9999,,,,,,downward scenario,False,0.97045,Out of market waiting for confirmation of downward scenario. Ending diagonal pattern identified. Target below 0.93000,4,2022.10.25T07-46-25.pdf,loss,1.03196,45.0,C:EURUSD,294.5,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-10-25,sell,2,3,intermediate,triangle,1.141,1.141,,,,,,main,True,1.14,"Triangle formation, stop on upper edge, alternative scenario if rises above red line",5,2022.10.25T07-46-25.pdf,loss,1.141,2.0,C:GBPUSD,0.0,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-10-25,buy,IV,V,,impulse,1.14098,1.10425,,,,,,main,True,1.14098,"Confirmation to buy at 1.14098, alternative scenario with triangle pattern shown",6,2022.10.25T07-46-25.pdf,pending,,45.0,C:GBPUSD,367.3,,,,,,,,,,,,,,,,,,,
AUD/USD,1D,2022-10-24,sell,(b),(c),intermediate,zigzag,,,,,,,,1,True,0.636,"Wave C of (Y) still developing with downward movement continuing. Two scenarios: 1) Wave C still developing, 2) Wave C already completed",1,2022.10.24T10-43-38.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-10-24,sell,2,3,,impulse,0.61707,0.64111,0.65389,0.63982,,,,main,False,0.646,"Stop intact, wave 2 ended near 61.8%, very common for 2nd wave. If short positions held, update stop. If not short yet, wait for sell level.",2,2022.10.24T10-43-38.pdf,loss,0.66947,45.0,C:AUDUSD,240.4,1.53,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-10-24,buy,2,3,,impulse,0.641,0.62189,,,0.61809,,,alternative,True,0.635,"Alternative scenario shown with wave 3 projected upward to 0.68000. Main scenario invalidated, switched to alternative plan.",3,2022.10.24T10-43-38.pdf,loss,0.62189,18.0,C:AUDUSD,191.1,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-10-24,sell,iv,v,,ending diagonal,0.97043,0.985,,,,,,downward,False,0.97043,Out of market waiting for confirmation of downward scenario. Downward channel structure likely a correction.,4,2022.10.24T10-43-38.pdf,loss,1.03267,45.0,C:EURUSD,145.7,,,,,,,,,,,,,,,,,,,
GBP/USD,4H,2022-10-24,sell,2,3,,impulse,1.15,1.156,,,,,,main,True,1.15,"Invalidation level marked at 1.15600, downtrend projected to 0.98000",5,2022.10.24T10-43-38.pdf,loss,1.156,4.0,C:GBPUSD,60.0,,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-10-24,buy,4,5,primary,impulse,1.38631,1.3605,,,,1.34995,,main,True,1.375,"Confirmation level to buy at 1.38631, invalidation at 1.36050",6,2022.10.24T10-43-38.pdf,loss,1.32647,45.0,C:USDCAD,258.1,,,,,,,,,,,,,,,,,,,
AUD/USD,4h,2022-10-21,sell,1,3,intermediate,impulse,0.62281,0.64,,,,,,main,True,0.62676,"Confirmation level to Sell at 0.62281, Triangle pattern, Target wave 3 at 0.59000",1,2022.10.21T06-59-58.pdf,loss,0.64,3.0,C:AUDUSD,171.9,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-10-21,sell,2,3,intermediate,impulse,0.97411,0.98627,0.93,,0.98627,,,main,True,0.97411,"Confirmation level to Sell at 0.97411, Elliott Wave Count showing wave 3 projection downward to 0.9300",2,2022.10.21T06-59-58.pdf,loss,0.98627,3.0,C:EURUSD,121.6,3.63,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-10-21,sell,2,3,primary,impulse,1.13219,1.14318,,,,,,main,True,1.134,"Invalidation level at 1.14318, confirmation level to sell at 1.13219",3,2022.10.21T06-59-58.pdf,loss,1.14318,5.0,C:GBPUSD,109.9,,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-10-21,buy,4,5,primary,impulse,,,1.43995,,,1.34995,,main,True,1.376,Main trend is bullish. Hold long positions or wait for next buying opportunity. 38.20% retracement level marked at 1.34995,4,2022.10.21T06-59-58.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CHF,4H,2022-10-21,buy,iii,3,intermediate,impulse,1.0439,0.9781,1.0439,,,,,main,True,1.0398,Elliott Wave Count showing impulse pattern with wave 3 projected to 161.80% extension at 1.04390. Invalidation level at 0.97810.,5,2022.10.21T06-59-58.pdf,loss,0.98358,45.0,C:USDCHF,658.0,,,,,,,,,,,,,,,,,,,
USD/JPY,2D,2022-10-21,buy,4,5,primary,impulse,,,,,,,,main,True,150.0,"Elliott Wave Count showing wave structure (1)-(2)-(3)-(4)-(5) with subwaves labeled. Currently in wave 4 correction, targeting wave 5 completion around 157.000",6,2022.10.21T06-59-58.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-10-20,sell,2,3,intermediate,impulse,0.97305,0.98593,0.93,,0.618,,,main,False,0.97676,"Ending Diagonal pattern, confirmation level to sell at 0.97305, projected target wave (3) at 0.93000",2,2022.10.20T07-43-14.pdf,loss,0.98593,4.0,C:EURUSD,128.8,3.34,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-10-20,sell,2,3,,impulse,1.11519,1.15,,,,,,main,True,1.12,"Confirmation level to sell at 1.11519, invalidation at 1.15000",3,2022.10.20T07-43-14.pdf,loss,1.15,7.0,C:GBPUSD,348.1,,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-10-20,buy,4,5,intermediate,impulse,,1.33509,1.41,,,1.34995,,main,True,1.362,If you have long positions - hold them. The main trend is still bullish. If you don't have long positions - wait for the next buying opportunity.,4,2022.10.20T07-43-14.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CHF,4H,2022-10-20,buy,3,5,intermediate,impulse,1.0439,0.975,1.045,1.05,,,,main,True,1.0439,"Wave (3) complete at 1.04390, wave (iii) confirmed, 161.80% extension shown",5,2022.10.20T07-43-14.pdf,loss,0.98446,45.0,C:USDCHF,689.0,0.02,,,,,,,,,,,,,,,,,,
USD/JPY,4h,2022-10-20,buy,5,,primary,impulse,,145.336,,,,139.866,,main,True,153.0,"Wave 5 in progress, invalidation at 145.336, 38.20% fibonacci level at 139.866",6,2022.10.20T07-43-14.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-10-19,sell,4,5,primary,impulse,0.61948,0.64345,0.63546,,0.63546,,,main,False,0.62676,"50.00% retracement at 0.63546, confirmation level to sell at 0.61948",1,2022.10.19T06-42-00.pdf,win,0.63546,4.0,C:AUDUSD,239.7,0.67,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-10-19,sell,2,3,intermediate,impulse,0.975,0.995,,,0.9861,,,main,False,0.975,"Ending diagonal pattern, confirmation level at 0.97500, bearish projection to 0.93000",2,2022.10.19T06-42-00.pdf,loss,0.995,7.0,C:EURUSD,200.0,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-10-19,sell,5,,,impulse,1.11515,1.14,,,,,,main,False,1.12,"Confirmation level to sell at 1.11515, projected move to 1.03000",3,2022.10.19T06-42-00.pdf,loss,1.14,5.0,C:GBPUSD,248.5,,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-10-19,buy,C,3,intermediate,impulse,1.35518,1.35003,1.4,,0.618,0.382,,main,True,1.366,Main trend bullish. Hold long positions or wait for next buying opportunity at support levels,4,2022.10.19T06-42-00.pdf,loss,1.35003,9.0,C:USDCAD,51.5,8.7,,,,,,,,,,,,,,,,,,
USD/CHF,4H,2022-10-19,buy,1,2,intermediate,impulse,1.02,0.975,0.99045,0.98649,,,,main,True,0.995,Main trend still bullish. If you have long positions - hold them. If you don't have long positions - wait for the next buying opportunity,5,2022.10.19T06-42-00.pdf,loss,0.98887,45.0,C:USDCHF,450.0,0.66,,,,,,,,,,,,,,,,,,
USD/JPY,4h,2022-10-19,buy,5,,intermediate,impulse,145.912,143.992,,,38.209,139.866,,main,True,150.15,"Market remains bullish, stop to the top of the 1st wave recommended",6,2022.10.19T06-42-00.pdf,loss,143.992,22.0,C:USDJPY,192.0,,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-10-18,sell,4,5,intermediate,impulse,0.61548,0.644,0.63546,0.599,,0.50009,,main,True,0.632,"Invalidation at 0.64400, Confirmation level to Sell at 0.61548, triangle pattern with downward projection",1,2022.10.18T07-52-42.pdf,win,0.63546,5.0,C:AUDUSD,285.2,0.7,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-10-18,sell,2,3,intermediate,impulse,0.9781,0.995,0.93,0.92,0.618,0.382,,main,True,0.97615,"Ending diagonal pattern, confirmation level to sell at 0.97810, invalidation at 0.99500",2,2022.10.18T07-52-42.pdf,loss,0.995,8.0,C:EURUSD,169.0,2.85,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-10-18,sell,C,5,intermediate,impulse,1.122,1.14844,,,,,,main,True,1.14844,"Invalidation at 1.14844, confirmation level to sell at 1.12200, Elliott Wave Count analysis",3,2022.10.18T07-52-42.pdf,loss,1.14844,8.0,C:GBPUSD,264.4,,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-10-18,buy,4,5,intermediate,impulse,1.35093,1.35518,1.35093,1.4,1.35518,1.35093,,main,True,1.365,Main trend still bullish. Hold long positions or wait for next buying opportunity at support levels.,4,2022.10.18T07-52-42.pdf,win,1.35093,10.0,C:USDCAD,42.5,,,,,,,,,,,,,,,,,,,
USD/CHF,4H,2022-10-18,buy,4,5,intermediate,impulse,0.96649,0.96045,1.015,,0.99045,0.94815,,main,True,0.97819,Main trend bullish. If long positions held - maintain. If no position - wait for buying opportunity at invalidation zone.,5,2022.10.18T07-52-42.pdf,loss,0.96045,25.0,C:USDCHF,60.4,8.03,,,,,,,,,,,,,,,,,,
USD/JPY,4h,2022-10-18,buy,4,5,intermediate,impulse,145.3,143.902,153.0,155.0,139.866,,,main,True,149.5,"Market remains bullish, move stop to top of 1st wave. Wave (5) projected upward with invalidation levels marked at 145.300 and 143.902",6,2022.10.18T07-52-42.pdf,loss,143.902,23.0,C:USDJPY,139.8,5.51,,,,,,,,,,,,,,,,,,
AUD/USD,1D,2022-10-17,sell,e,C,intermediate,triangle,,,,,,,,main,True,0.618,Elliott Wave Count showing completed triangle pattern with downtrend continuation expected,1,2022.10.17T07-35-50.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-10-17,sell,2,3,intermediate,impulse,,0.64056,,0.50009,,,,main,True,0.63546,"Wave 3 projected downward, invalidation level at 0.64056",2,2022.10.17T07-35-50.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-10-17,sell,4,5,intermediate,impulse,0.995,0.9861,0.98173,0.93,0.9861,0.98173,,main,False,0.995,"Invalidation level at 61.80% (0.98610), target at 50.00% (0.98173), Ending Diagonal pattern identified",3,2022.10.17T07-35-50.pdf,loss,0.9861,10.0,C:EURUSD,89.0,1.49,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-10-17,sell,2,3,intermediate,impulse,1.122,1.143,,,,,,main,True,1.13112,"Invalidation level at 1.14300, confirmation level to sell at 1.12200, downtrend continuation expected to 1.01000",4,2022.10.17T07-35-50.pdf,loss,1.143,9.0,C:GBPUSD,210.0,,,,,,,,,,,,,,,,,,,
USD/CAD,2D,2022-10-17,buy,4,5,intermediate,impulse,1.4,1.36,1.42,1.435,,,,main,True,1.389,"Wave 5 in progress, ascending trend within wave (Y), support at wave (2) level",5,2022.10.17T07-35-50.pdf,loss,1.35125,45.0,C:USDCAD,400.0,0.5,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-10-17,buy,4,5,intermediate,impulse,1.35508,1.34995,1.35508,1.34995,,1.34995,,main,True,1.356,Main trend still bullish. Hold long positions or wait for next buying opportunity at wave 4 completion,6,2022.10.17T07-35-50.pdf,win,1.35508,11.0,C:USDCAD,51.3,,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-10-14,sell,4,5,intermediate,impulse,,0.64912,0.61809,0.5,0.61809,0.63546,,main,True,0.64,"Wave (3) completed, wave (4) triangle structure, invalidation at 61.809(0.63982), downside target 50.00%(0.63546)",1,2022.10.14T07-57-01.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-10-14,sell,2,3,intermediate,ending_diagonal,,0.995,0.98173,,0.9861,0.98173,,main,False,0.99521,"Ending diagonal pattern identified, invalidation marked, bearish projection to wave 3",2,2022.10.14T07-57-01.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-10-14,sell,2,3,intermediate,impulse,1.1373,,,,,,,main,True,1.1373,"Wave (3) projected downward toward invalidation level, Elliott Wave Count in progress",3,2022.10.14T07-57-01.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CAD,2D,2022-10-14,buy,4,5,intermediate,impulse,1.4,1.345,1.439,1.446,,,,main,True,1.358,"Wave 5 in progress, Elliott Wave Count shows impulse pattern with wave 4 correction completed",4,2022.10.14T07-57-01.pdf,loss,1.3479,45.0,C:USDCAD,550.0,0.71,,,,,,,,,,,,,,,,,,
USD/CAD,8h,2022-10-14,sell,B,C,intermediate,corrective,1.38,1.4,1.33516,1.35005,,,,main,True,1.38,"Wave 3 completed at 1.40000, correction in progress with targets at 50% and 38.2% Fibonacci levels",5,2022.10.14T07-57-01.pdf,win,1.33516,26.0,C:USDCAD,200.0,2.24,,,,,,,,,,,,,,,,,,
USD/CHF,4H,2022-10-14,buy,iv,v,intermediate,impulse,1.00725,0.975,1.03925,1.045,0.98652,0.94815,,main,True,1.00725,"161.80% projection to 1.03925, triangle pattern completion",6,2022.10.14T07-57-01.pdf,loss,0.975,27.0,C:USDCHF,322.5,0.99,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-10-13,sell,4,5,intermediate,impulse,0.65407,0.6434,,,,,,main,True,0.62676,Market moving according to plan. Triangle pattern completing. Invalidation levels marked at 0.65407 and 0.64340,1,2022.10.13T07-33-24.pdf,loss,0.6434,26.0,C:AUDUSD,106.7,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-10-13,sell,5,3,intermediate,impulse,,0.999,,,,,,main,True,0.93,"Ending diagonal pattern identified, invalidation level at 0.99900",2,2022.10.13T07-33-24.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-10-13,sell,2,3,,impulse,1.23432,,,,,,,main,True,1.124,"Invalidation marked at 1.23432, Elliott Wave Count with multiple sub-waves labeled",3,2022.10.13T07-33-24.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-10-13,buy,3,5,intermediate,impulse,,1.36618,,,1.27311,,,main,True,1.41,"Elliott Wave Count showing impulse pattern with wave 3 in progress, invalidation level marked at 1.36618",4,2022.10.13T07-33-24.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
